date_key,calendar_date,year,quarter,month,month_name,day,day_of_week,is_weekend
20180101,2018-01-01,2018,1,1,January,1,Mon,false
20180102,2018-01-02,2018,1,1,January,2,Tue,false
20180103,2018-01-03,2018,1,1,January,3,Wed,false
20180104,2018-01-04,2018,1,1,January,4,Thu,false
20180105,2018-01-05,2018,1,1,January,5,Fri,false
20180106,2018-01-06,2018,1,1,January,6,Sat,true
20180107,2018-01-07,2018,1,1,January,7,Sun,true
20180108,2018-01-08,2018,1,1,January,8,Mon,false
20180109,2018-01-09,2018,1,1,January,9,Tue,false
20180110,2018-01-10,2018,1,1,January,10,Wed,false
20180111,2018-01-11,2018,1,1,January,11,Thu,false
20180112,2018-01-12,2018,1,1,January,12,Fri,false
20180113,2018-01-13,2018,1,1,January,13,Sat,true
20180114,2018-01-14,2018,1,1,January,14,Sun,true
20180115,2018-01-15,2018,1,1,January,15,Mon,false
20180116,2018-01-16,2018,1,1,January,16,Tue,false
20180117,2018-01-17,2018,1,1,January,17,Wed,false
20180118,2018-01-18,2018,1,1,January,18,Thu,false
20180119,2018-01-19,2018,1,1,January,19,Fri,false
20180120,2018-01-20,2018,1,1,January,20,Sat,true
20180121,2018-01-21,2018,1,1,January,21,Sun,true
20180122,2018-01-22,2018,1,1,January,22,Mon,false
20180123,2018-01-23,2018,1,1,January,23,Tue,false
20180124,2018-01-24,2018,1,1,January,24,Wed,false
20180125,2018-01-25,2018,1,1,January,25,Thu,false
20180126,2018-01-26,2018,1,1,January,26,Fri,false
20180127,2018-01-27,2018,1,1,January,27,Sat,true
20180128,2018-01-28,2018,1,1,January,28,Sun,true
20180129,2018-01-29,2018,1,1,January,29,Mon,false
20180130,2018-01-30,2018,1,1,January,30,Tue,false
20180131,2018-01-31,2018,1,1,January,31,Wed,false
20180201,2018-02-01,2018,1,2,February,1,Thu,false
20180202,2018-02-02,2018,1,2,February,2,Fri,false
20180203,2018-02-03,2018,1,2,February,3,Sat,true
20180204,2018-02-04,2018,1,2,February,4,Sun,true
20180205,2018-02-05,2018,1,2,February,5,Mon,false
20180206,2018-02-06,2018,1,2,February,6,Tue,false
20180207,2018-02-07,2018,1,2,February,7,Wed,false
20180208,2018-02-08,2018,1,2,February,8,Thu,false
20180209,2018-02-09,2018,1,2,February,9,Fri,false
20180210,2018-02-10,2018,1,2,February,10,Sat,true
20180211,2018-02-11,2018,1,2,February,11,Sun,true
20180212,2018-02-12,2018,1,2,February,12,Mon,false
20180213,2018-02-13,2018,1,2,February,13,Tue,false
20180214,2018-02-14,2018,1,2,February,14,Wed,false
20180215,2018-02-15,2018,1,2,February,15,Thu,false
20180216,2018-02-16,2018,1,2,February,16,Fri,false
20180217,2018-02-17,2018,1,2,February,17,Sat,true
20180218,2018-02-18,2018,1,2,February,18,Sun,true
20180219,2018-02-19,2018,1,2,February,19,Mon,false
20180220,2018-02-20,2018,1,2,February,20,Tue,false
20180221,2018-02-21,2018,1,2,February,21,Wed,false
20180222,2018-02-22,2018,1,2,February,22,Thu,false
20180223,2018-02-23,2018,1,2,February,23,Fri,false
20180224,2018-02-24,2018,1,2,February,24,Sat,true
20180225,2018-02-25,2018,1,2,February,25,Sun,true
20180226,2018-02-26,2018,1,2,February,26,Mon,false
20180227,2018-02-27,2018,1,2,February,27,Tue,false
20180228,2018-02-28,2018,1,2,February,28,Wed,false
20180301,2018-03-01,2018,1,3,March,1,Thu,false
20180302,2018-03-02,2018,1,3,March,2,Fri,false
20180303,2018-03-03,2018,1,3,March,3,Sat,true
